film_id,n_rentals,n_different_customer,r_month,r_year,language_id,rental_duration,rental_rate,length,rating,special_features,category_id,rented_last_month
205,5,5,08,2005,1,3,0.99,58,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
205,2,2,02,2006,1,3,0.99,58,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,1
210,1,1,05,2005,1,3,4.99,130,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
210,1,1,06,2005,1,3,4.99,130,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
210,5,5,07,2005,1,3,4.99,130,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
210,4,4,08,2005,1,3,4.99,130,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
212,1,1,05,2005,1,7,4.99,185,G,"Deleted Scenes",1,0
212,3,3,06,2005,1,7,4.99,185,G,"Deleted Scenes",1,0
212,8,8,07,2005,1,7,4.99,185,G,"Deleted Scenes",1,0
212,6,6,08,2005,1,7,4.99,185,G,"Deleted Scenes",1,0
229,1,1,05,2005,1,6,4.99,87,R,"Trailers,Behind the Scenes",1,0
229,3,3,06,2005,1,6,4.99,87,R,"Trailers,Behind the Scenes",1,0
229,5,5,07,2005,1,6,4.99,87,R,"Trailers,Behind the Scenes",1,0
229,5,5,08,2005,1,6,4.99,87,R,"Trailers,Behind the Scenes",1,0
229,1,1,02,2006,1,6,4.99,87,R,"Trailers,Behind the Scenes",1,1
250,5,5,07,2005,1,4,0.99,170,NC-17,"Deleted Scenes,Behind the Scenes",1,0
250,6,6,08,2005,1,4,0.99,170,NC-17,"Deleted Scenes,Behind the Scenes",1,0
252,2,2,05,2005,1,6,2.99,135,PG,"Trailers,Commentaries,Behind the Scenes",1,0
252,4,4,06,2005,1,6,2.99,135,PG,"Trailers,Commentaries,Behind the Scenes",1,0
252,10,10,07,2005,1,6,2.99,135,PG,"Trailers,Commentaries,Behind the Scenes",1,0
252,6,6,08,2005,1,6,2.99,135,PG,"Trailers,Commentaries,Behind the Scenes",1,0
253,2,2,05,2005,1,5,4.99,61,PG-13,"Trailers,Behind the Scenes",1,0
253,4,4,06,2005,1,5,4.99,61,PG-13,"Trailers,Behind the Scenes",1,0
253,12,12,07,2005,1,5,4.99,61,PG-13,"Trailers,Behind the Scenes",1,0
253,5,5,08,2005,1,5,4.99,61,PG-13,"Trailers,Behind the Scenes",1,0
253,1,1,02,2006,1,5,4.99,61,PG-13,"Trailers,Behind the Scenes",1,1
271,3,3,05,2005,1,5,4.99,148,G,"Trailers,Commentaries,Behind the Scenes",1,0
271,5,5,06,2005,1,5,4.99,148,G,"Trailers,Commentaries,Behind the Scenes",1,0
271,9,9,07,2005,1,5,4.99,148,G,"Trailers,Commentaries,Behind the Scenes",1,0
271,6,6,08,2005,1,5,4.99,148,G,"Trailers,Commentaries,Behind the Scenes",1,0
287,2,2,05,2005,1,5,0.99,176,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
287,2,2,06,2005,1,5,0.99,176,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
287,5,5,07,2005,1,5,0.99,176,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
287,6,6,08,2005,1,5,0.99,176,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
292,1,1,05,2005,1,3,0.99,51,G,Commentaries,1,0
292,3,3,06,2005,1,3,0.99,51,G,Commentaries,1,0
292,8,8,07,2005,1,3,0.99,51,G,Commentaries,1,0
292,9,9,08,2005,1,3,0.99,51,G,Commentaries,1,0
303,4,4,05,2005,1,6,0.99,58,PG-13,"Behind the Scenes",1,0
303,4,4,06,2005,1,6,0.99,58,PG-13,"Behind the Scenes",1,0
303,11,11,07,2005,1,6,0.99,58,PG-13,"Behind the Scenes",1,0
303,7,6,08,2005,1,6,0.99,58,PG-13,"Behind the Scenes",1,0
327,2,2,05,2005,1,3,4.99,158,PG,"Trailers,Commentaries",1,0
327,4,4,06,2005,1,3,4.99,158,PG,"Trailers,Commentaries",1,0
327,10,10,07,2005,1,3,4.99,158,PG,"Trailers,Commentaries",1,0
327,7,7,08,2005,1,3,4.99,158,PG,"Trailers,Commentaries",1,0
329,1,1,05,2005,1,4,2.99,63,R,Commentaries,1,0
329,2,2,06,2005,1,4,2.99,63,R,Commentaries,1,0
329,5,5,07,2005,1,4,2.99,63,R,Commentaries,1,0
329,10,10,08,2005,1,4,2.99,63,R,Commentaries,1,0
360,2,2,05,2005,1,4,0.99,103,G,Trailers,1,0
360,2,2,06,2005,1,4,0.99,103,G,Trailers,1,0
360,4,4,07,2005,1,4,0.99,103,G,Trailers,1,0
360,6,6,08,2005,1,4,0.99,103,G,Trailers,1,0
371,1,1,06,2005,1,5,4.99,129,G,Commentaries,1,0
371,4,4,07,2005,1,5,4.99,129,G,Commentaries,1,0
371,3,3,08,2005,1,5,4.99,129,G,Commentaries,1,0
375,2,2,05,2005,1,4,2.99,85,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
375,2,2,06,2005,1,4,2.99,85,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
375,4,4,07,2005,1,4,2.99,85,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
375,1,1,08,2005,1,4,2.99,85,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
375,1,1,02,2006,1,4,2.99,85,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
395,4,4,05,2005,1,4,0.99,108,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
395,6,6,06,2005,1,4,0.99,108,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
395,8,8,07,2005,1,4,0.99,108,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
395,10,10,08,2005,1,4,0.99,108,R,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
417,4,4,05,2005,1,5,0.99,93,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
417,4,4,06,2005,1,5,0.99,93,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
417,9,9,07,2005,1,5,0.99,93,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
417,8,8,08,2005,1,5,0.99,93,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
501,2,2,05,2005,1,3,4.99,141,R,Trailers,1,0
501,5,5,06,2005,1,3,4.99,141,R,Trailers,1,0
501,7,7,07,2005,1,3,4.99,141,R,Trailers,1,0
501,6,6,08,2005,1,3,4.99,141,R,Trailers,1,0
511,1,1,06,2005,1,7,0.99,175,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
511,7,7,07,2005,1,7,0.99,175,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
511,5,5,08,2005,1,7,0.99,175,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
530,1,1,05,2005,1,5,2.99,108,PG-13,Trailers,1,0
530,1,1,06,2005,1,5,2.99,108,PG-13,Trailers,1,0
530,4,4,07,2005,1,5,2.99,108,PG-13,Trailers,1,0
530,4,4,08,2005,1,5,2.99,108,PG-13,Trailers,1,0
530,1,1,02,2006,1,5,2.99,108,PG-13,Trailers,1,1
542,1,1,06,2005,1,3,2.99,52,G,"Trailers,Commentaries,Behind the Scenes",1,0
542,8,7,07,2005,1,3,2.99,52,G,"Trailers,Commentaries,Behind the Scenes",1,0
542,4,4,08,2005,1,3,2.99,52,G,"Trailers,Commentaries,Behind the Scenes",1,0
542,2,2,02,2006,1,3,2.99,52,G,"Trailers,Commentaries,Behind the Scenes",1,1
549,4,4,07,2005,1,4,0.99,171,PG-13,"Trailers,Commentaries,Deleted Scenes",1,0
549,7,7,08,2005,1,4,0.99,171,PG-13,"Trailers,Commentaries,Deleted Scenes",1,0
574,1,1,05,2005,1,3,0.99,86,G,"Trailers,Deleted Scenes",1,0
574,2,2,06,2005,1,3,0.99,86,G,"Trailers,Deleted Scenes",1,0
574,8,8,07,2005,1,3,0.99,86,G,"Trailers,Deleted Scenes",1,0
574,5,5,08,2005,1,3,0.99,86,G,"Trailers,Deleted Scenes",1,0
574,1,1,02,2006,1,3,0.99,86,G,"Trailers,Deleted Scenes",1,1
579,1,1,05,2005,1,3,4.99,149,PG-13,"Deleted Scenes,Behind the Scenes",1,0
579,1,1,06,2005,1,3,4.99,149,PG-13,"Deleted Scenes,Behind the Scenes",1,0
579,8,8,07,2005,1,3,4.99,149,PG-13,"Deleted Scenes,Behind the Scenes",1,0
579,10,10,08,2005,1,3,4.99,149,PG-13,"Deleted Scenes,Behind the Scenes",1,0
586,1,1,05,2005,1,4,0.99,60,PG,"Behind the Scenes",1,0
586,3,3,06,2005,1,4,0.99,60,PG,"Behind the Scenes",1,0
586,7,7,07,2005,1,4,0.99,60,PG,"Behind the Scenes",1,0
586,12,12,08,2005,1,4,0.99,60,PG,"Behind the Scenes",1,0
586,1,1,02,2006,1,4,0.99,60,PG,"Behind the Scenes",1,1
594,1,1,06,2005,1,6,0.99,126,NC-17,Trailers,1,0
594,4,4,07,2005,1,6,0.99,126,NC-17,Trailers,1,0
594,4,4,08,2005,1,6,0.99,126,NC-17,Trailers,1,0
659,1,1,05,2005,1,3,4.99,109,PG-13,"Trailers,Deleted Scenes",1,0
659,1,1,06,2005,1,3,4.99,109,PG-13,"Trailers,Deleted Scenes",1,0
659,4,4,07,2005,1,3,4.99,109,PG-13,"Trailers,Deleted Scenes",1,0
659,2,2,08,2005,1,3,4.99,109,PG-13,"Trailers,Deleted Scenes",1,0
664,1,1,05,2005,1,6,2.99,65,PG,"Trailers,Deleted Scenes",1,0
664,2,2,06,2005,1,6,2.99,65,PG,"Trailers,Deleted Scenes",1,0
664,7,7,07,2005,1,6,2.99,65,PG,"Trailers,Deleted Scenes",1,0
664,6,6,08,2005,1,6,2.99,65,PG,"Trailers,Deleted Scenes",1,0
697,4,4,06,2005,1,7,0.99,53,G,"Trailers,Deleted Scenes,Behind the Scenes",1,0
697,15,15,07,2005,1,7,0.99,53,G,"Trailers,Deleted Scenes,Behind the Scenes",1,0
697,8,8,08,2005,1,7,0.99,53,G,"Trailers,Deleted Scenes,Behind the Scenes",1,0
707,3,3,06,2005,1,5,2.99,177,R,"Behind the Scenes",1,0
707,7,7,07,2005,1,5,2.99,177,R,"Behind the Scenes",1,0
707,10,10,08,2005,1,5,2.99,177,R,"Behind the Scenes",1,0
717,2,2,05,2005,1,6,0.99,97,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
717,3,3,06,2005,1,6,0.99,97,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
717,7,7,07,2005,1,6,0.99,97,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
717,5,5,08,2005,1,6,0.99,97,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
732,2,2,05,2005,1,5,0.99,58,G,"Trailers,Commentaries,Behind the Scenes",1,0
732,2,2,06,2005,1,5,0.99,58,G,"Trailers,Commentaries,Behind the Scenes",1,0
732,7,7,07,2005,1,5,0.99,58,G,"Trailers,Commentaries,Behind the Scenes",1,0
732,4,4,08,2005,1,5,0.99,58,G,"Trailers,Commentaries,Behind the Scenes",1,0
748,2,2,05,2005,1,4,0.99,109,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
748,5,5,06,2005,1,4,0.99,109,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
748,14,14,07,2005,1,4,0.99,109,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
748,9,9,08,2005,1,4,0.99,109,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
793,1,1,05,2005,1,6,2.99,139,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
793,1,1,06,2005,1,6,2.99,139,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
793,7,7,07,2005,1,6,2.99,139,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
793,5,5,08,2005,1,6,2.99,139,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
794,1,1,06,2005,1,5,0.99,52,G,"Deleted Scenes,Behind the Scenes",1,0
794,6,6,07,2005,1,5,0.99,52,G,"Deleted Scenes,Behind the Scenes",1,0
794,5,5,08,2005,1,5,0.99,52,G,"Deleted Scenes,Behind the Scenes",1,0
823,1,1,05,2005,1,4,2.99,143,R,"Commentaries,Behind the Scenes",1,0
823,2,2,06,2005,1,4,2.99,143,R,"Commentaries,Behind the Scenes",1,0
823,10,10,07,2005,1,4,2.99,143,R,"Commentaries,Behind the Scenes",1,0
823,8,8,08,2005,1,4,2.99,143,R,"Commentaries,Behind the Scenes",1,0
823,1,1,02,2006,1,4,2.99,143,R,"Commentaries,Behind the Scenes",1,1
825,1,1,05,2005,1,6,2.99,165,PG-13,"Deleted Scenes,Behind the Scenes",1,0
825,2,2,06,2005,1,6,2.99,165,PG-13,"Deleted Scenes,Behind the Scenes",1,0
825,6,6,07,2005,1,6,2.99,165,PG-13,"Deleted Scenes,Behind the Scenes",1,0
825,3,3,08,2005,1,6,2.99,165,PG-13,"Deleted Scenes,Behind the Scenes",1,0
838,2,2,05,2005,1,5,4.99,112,R,"Trailers,Deleted Scenes",1,0
838,6,6,06,2005,1,5,4.99,112,R,"Trailers,Deleted Scenes",1,0
838,12,12,07,2005,1,5,4.99,112,R,"Trailers,Deleted Scenes",1,0
838,6,6,08,2005,1,5,4.99,112,R,"Trailers,Deleted Scenes",1,0
850,2,2,05,2005,1,7,0.99,163,R,"Trailers,Behind the Scenes",1,0
850,5,5,06,2005,1,7,0.99,163,R,"Trailers,Behind the Scenes",1,0
850,11,11,07,2005,1,7,0.99,163,R,"Trailers,Behind the Scenes",1,0
850,10,10,08,2005,1,7,0.99,163,R,"Trailers,Behind the Scenes",1,0
869,3,3,05,2005,1,4,2.99,47,PG,Trailers,1,0
869,6,6,06,2005,1,4,2.99,47,PG,Trailers,1,0
869,12,11,07,2005,1,4,2.99,47,PG,Trailers,1,0
869,8,8,08,2005,1,4,2.99,47,PG,Trailers,1,0
869,1,1,02,2006,1,4,2.99,47,PG,Trailers,1,1
911,2,2,05,2005,1,7,4.99,64,PG-13,"Commentaries,Deleted Scenes",1,0
911,3,3,06,2005,1,7,4.99,64,PG-13,"Commentaries,Deleted Scenes",1,0
911,14,13,07,2005,1,7,4.99,64,PG-13,"Commentaries,Deleted Scenes",1,0
911,9,9,08,2005,1,7,4.99,64,PG-13,"Commentaries,Deleted Scenes",1,0
915,3,3,05,2005,1,7,4.99,92,G,"Trailers,Commentaries",1,0
915,4,4,06,2005,1,7,4.99,92,G,"Trailers,Commentaries",1,0
915,9,9,07,2005,1,7,4.99,92,G,"Trailers,Commentaries",1,0
915,7,7,08,2005,1,7,4.99,92,G,"Trailers,Commentaries",1,0
927,2,2,05,2005,1,6,2.99,174,NC-17,"Trailers,Behind the Scenes",1,0
927,2,2,06,2005,1,6,2.99,174,NC-17,"Trailers,Behind the Scenes",1,0
927,6,6,07,2005,1,6,2.99,174,NC-17,"Trailers,Behind the Scenes",1,0
927,6,6,08,2005,1,6,2.99,174,NC-17,"Trailers,Behind the Scenes",1,0
964,1,1,05,2005,1,4,4.99,61,G,"Behind the Scenes",1,0
964,3,3,06,2005,1,4,4.99,61,G,"Behind the Scenes",1,0
964,7,7,07,2005,1,4,4.99,61,G,"Behind the Scenes",1,0
964,6,6,08,2005,1,4,4.99,61,G,"Behind the Scenes",1,0
968,2,2,05,2005,1,6,4.99,79,G,"Trailers,Behind the Scenes",1,0
968,3,3,06,2005,1,6,4.99,79,G,"Trailers,Behind the Scenes",1,0
968,5,5,07,2005,1,6,4.99,79,G,"Trailers,Behind the Scenes",1,0
968,4,4,08,2005,1,6,4.99,79,G,"Trailers,Behind the Scenes",1,0
982,2,2,05,2005,1,4,0.99,126,R,"Deleted Scenes,Behind the Scenes",1,0
982,2,2,06,2005,1,4,0.99,126,R,"Deleted Scenes,Behind the Scenes",1,0
982,10,10,07,2005,1,4,0.99,126,R,"Deleted Scenes,Behind the Scenes",1,0
982,8,8,08,2005,1,4,0.99,126,R,"Deleted Scenes,Behind the Scenes",1,0
982,1,1,02,2006,1,4,0.99,126,R,"Deleted Scenes,Behind the Scenes",1,1
991,1,1,05,2005,1,4,2.99,185,PG,"Deleted Scenes,Behind the Scenes",1,0
991,2,2,06,2005,1,4,2.99,185,PG,"Deleted Scenes,Behind the Scenes",1,0
991,7,7,07,2005,1,4,2.99,185,PG,"Deleted Scenes,Behind the Scenes",1,0
991,6,6,08,2005,1,4,2.99,185,PG,"Deleted Scenes,Behind the Scenes",1,0
18,2,2,05,2005,1,6,0.99,57,PG-13,"Trailers,Behind the Scenes",2,0
18,3,3,06,2005,1,6,0.99,57,PG-13,"Trailers,Behind the Scenes",2,0
18,11,11,07,2005,1,6,0.99,57,PG-13,"Trailers,Behind the Scenes",2,0
18,6,6,08,2005,1,6,0.99,57,PG-13,"Trailers,Behind the Scenes",2,0
23,2,2,05,2005,1,3,0.99,92,R,"Trailers,Deleted Scenes",2,0
23,5,5,06,2005,1,3,0.99,92,R,"Trailers,Deleted Scenes",2,0
23,9,9,07,2005,1,3,0.99,92,R,"Trailers,Deleted Scenes",2,0
23,5,5,08,2005,1,3,0.99,92,R,"Trailers,Deleted Scenes",2,0
70,1,1,05,2005,1,7,4.99,142,NC-17,"Commentaries,Deleted Scenes",2,0
70,4,4,06,2005,1,7,4.99,142,NC-17,"Commentaries,Deleted Scenes",2,0
70,6,6,07,2005,1,7,4.99,142,NC-17,"Commentaries,Deleted Scenes",2,0
70,6,6,08,2005,1,7,4.99,142,NC-17,"Commentaries,Deleted Scenes",2,0
78,3,3,05,2005,1,7,2.99,85,PG,"Trailers,Deleted Scenes",2,0
78,4,4,06,2005,1,7,2.99,85,PG,"Trailers,Deleted Scenes",2,0
78,12,12,07,2005,1,7,2.99,85,PG,"Trailers,Deleted Scenes",2,0
78,8,8,08,2005,1,7,2.99,85,PG,"Trailers,Deleted Scenes",2,0
89,2,2,05,2005,1,7,0.99,63,G,"Commentaries,Deleted Scenes,Behind the Scenes",2,0
89,3,3,06,2005,1,7,0.99,63,G,"Commentaries,Deleted Scenes,Behind the Scenes",2,0
89,11,11,07,2005,1,7,0.99,63,G,"Commentaries,Deleted Scenes,Behind the Scenes",2,0
89,6,6,08,2005,1,7,0.99,63,G,"Commentaries,Deleted Scenes,Behind the Scenes",2,0
118,3,3,06,2005,1,7,0.99,85,R,"Trailers,Deleted Scenes",2,0
118,7,7,07,2005,1,7,0.99,85,R,"Trailers,Deleted Scenes",2,0
118,8,8,08,2005,1,7,0.99,85,R,"Trailers,Deleted Scenes",2,0
118,1,1,02,2006,1,7,0.99,85,R,"Trailers,Deleted Scenes",2,1
121,2,2,06,2005,1,4,2.99,151,PG,"Trailers,Behind the Scenes",2,0
121,8,8,07,2005,1,4,2.99,151,PG,"Trailers,Behind the Scenes",2,0
121,8,8,08,2005,1,4,2.99,151,PG,"Trailers,Behind the Scenes",2,0
134,1,1,05,2005,1,4,4.99,51,PG,Trailers,2,0
134,3,3,06,2005,1,4,4.99,51,PG,Trailers,2,0
134,3,3,07,2005,1,4,4.99,51,PG,Trailers,2,0
134,6,6,08,2005,1,4,4.99,51,PG,Trailers,2,0
154,1,1,05,2005,1,6,2.99,81,G,"Commentaries,Deleted Scenes",2,0
154,4,4,06,2005,1,6,2.99,81,G,"Commentaries,Deleted Scenes",2,0
154,10,10,07,2005,1,6,2.99,81,G,"Commentaries,Deleted Scenes",2,0
154,10,10,08,2005,1,6,2.99,81,G,"Commentaries,Deleted Scenes",2,0
160,1,1,05,2005,1,4,0.99,65,PG-13,"Trailers,Deleted Scenes",2,0
160,4,4,06,2005,1,4,0.99,65,PG-13,"Trailers,Deleted Scenes",2,0
160,6,6,07,2005,1,4,0.99,65,PG-13,"Trailers,Deleted Scenes",2,0
160,6,6,08,2005,1,4,0.99,65,PG-13,"Trailers,Deleted Scenes",2,0
160,2,2,02,2006,1,4,0.99,65,PG-13,"Trailers,Deleted Scenes",2,1
193,2,2,06,2005,1,5,2.99,153,G,"Trailers,Commentaries,Behind the Scenes",2,0
193,9,9,07,2005,1,5,2.99,153,G,"Trailers,Commentaries,Behind the Scenes",2,0
193,10,10,08,2005,1,5,2.99,153,G,"Trailers,Commentaries,Behind the Scenes",2,0
208,1,1,05,2005,1,7,2.99,89,PG-13,"Commentaries,Behind the Scenes",2,0
208,1,1,06,2005,1,7,2.99,89,PG-13,"Commentaries,Behind the Scenes",2,0
208,4,4,07,2005,1,7,2.99,89,PG-13,"Commentaries,Behind the Scenes",2,0
208,3,3,08,2005,1,7,2.99,89,PG-13,"Commentaries,Behind the Scenes",2,0
223,2,2,06,2005,1,7,2.99,76,NC-17,"Deleted Scenes",2,0
223,4,4,07,2005,1,7,2.99,76,NC-17,"Deleted Scenes",2,0
223,2,2,08,2005,1,7,2.99,76,NC-17,"Deleted Scenes",2,0
239,2,2,05,2005,1,5,4.99,122,G,Commentaries,2,0
239,6,6,06,2005,1,5,4.99,122,G,Commentaries,2,0
239,13,13,07,2005,1,5,4.99,122,G,Commentaries,2,0
239,9,9,08,2005,1,5,4.99,122,G,Commentaries,2,0
241,1,1,05,2005,1,4,0.99,125,NC-17,"Trailers,Commentaries,Behind the Scenes",2,0
241,2,2,06,2005,1,4,0.99,125,NC-17,"Trailers,Commentaries,Behind the Scenes",2,0
241,7,7,07,2005,1,4,0.99,125,NC-17,"Trailers,Commentaries,Behind the Scenes",2,0
241,4,4,08,2005,1,4,0.99,125,NC-17,"Trailers,Commentaries,Behind the Scenes",2,0
243,1,1,05,2005,1,3,4.99,49,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,0
243,2,2,06,2005,1,3,4.99,49,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,0
243,6,6,07,2005,1,3,4.99,49,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,0
243,8,8,08,2005,1,3,4.99,49,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,0
243,2,2,02,2006,1,3,4.99,49,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,1
245,2,2,05,2005,1,4,0.99,177,R,"Trailers,Deleted Scenes,Behind the Scenes",2,0
